stop_id,time_interval,result
1309446,10,Citation
1309447,00,Citation
1309448,22,Verbal Warning
1309449,22,Verbal Warning
1309450,22,Verbal Warning
1309452,22,Verbal Warning
1309451,22,Verbal Warning
1309453,21,Citation
1309454,21,Arrested
1309455,22,Citation
1309456,22,Citation
1309457,22,Verbal Warning
1309458,22,Citation
1309459,22,Citation
1309460,22,Verbal Warning
1309461,22,Searched
1309462,22,Verbal Warning
1309463,22,Citation
1309464,22,Citation
1309465,22,Citation
1309466,22,Verbal Warning
1309467,23,Verbal Warning
1309468,23,NULL
1309470,21,NULL
1309469,21,NULL
1309471,23,Citation
1309472,23,Verbal Warning
1309473,23,Citation
1309474,23,FI
1309475,23,Citation
1309476,23,Verbal Warning
1309477,00,Citation
1309478,00,Citation
1309479,01,Citation
1309480,01,Citation
1309481,02,Verbal Warning
1309482,01,Citation
1309483,02,Citation
1309484,03,Verbal Warning
1309486,03,Citation
1309485,03,Citation
1309487,03,Citation
1309488,04,Citation
1309489,05,Citation
1309490,06,Arrested
1309497,09,Citation
1309493,09,Citation
1309494,10,Citation
1309491,09,Citation
1309498,10,Citation
1309492,09,Citation
1309499,10,Citation
1309495,11,Citation
1309496,09,Citation
1309500,06,NULL
1309501,06,Verbal Warning
1309502,06,Citation
1309504,14,Citation
1309503,14,Citation
1309505,14,Citation
1309506,07,Citation
1309507,07,Verbal Warning
1309508,07,Citation
1309509,08,Arrested
1309510,07,NULL
1309511,09,Citation
1309512,07,NULL
1309514,09,Written Warning
1309513,09,Citation
1309517,11,NULL
1309516,10,Citation
1309515,09,NULL
1309518,11,Verbal Warning
1309520,06,NULL
1309519,06,NULL
1309521,08,NULL
1309523,09,NULL
1309525,09,NULL
1309524,08,NULL
1309522,09,NULL
1309526,09,NULL
1309529,09,NULL
1309530,10,NULL
1309531,10,NULL
1309527,09,NULL
1309528,09,NULL
1309532,10,NULL
1309533,10,Citation
1309534,11,Verbal Warning
1309535,11,Verbal Warning
1309536,12,Citation
1309537,00,Citation
1309538,13,NULL
1309539,13,Citation
1309540,13,Verbal Warning
1309541,13,Searched
1309542,13,NULL
1309543,14,Citation
1309544,15,Citation
1309545,14,Written Warning
1309546,14,NULL
1309547,15,Verbal Warning
1309548,15,Arrested
1309549,15,Citation
1309550,15,Citation
1309551,15,Verbal Warning
1309552,15,Verbal Warning
1309553,15,Citation
1309555,15,Verbal Warning
1309554,15,Citation
1309556,15,Verbal Warning
1309557,15,Verbal Warning
1309559,15,Citation
1309558,15,NULL
1309560,15,Verbal Warning
1309561,16,Citation
1309562,15,Written Warning
1309563,16,Verbal Warning
1309564,16,Citation
1309565,16,NULL
1309566,16,Searched
1309567,14,Searched
1309568,16,NULL
1309570,16,Verbal Warning
1309569,16,Written Warning
1309571,16,NULL
1309573,16,Verbal Warning
1309572,16,Citation
1309574,16,Citation
1309575,10,Citation
1309576,10,Citation
1309578,16,Written Warning
1309577,16,NULL
1309579,10,Citation
1309580,10,Citation
1309581,10,Citation
1309582,10,Citation
1309583,09,Citation
1309584,08,Citation
1309585,08,Citation
1309586,08,Citation
1309587,08,Citation
1309588,08,Citation
1309590,16,Citation
1309591,16,Verbal Warning
1309589,08,Citation
1309592,07,Citation
1309593,07,Citation
1309594,12,Written Warning
1309595,16,Verbal Warning
1309596,10,Citation
1309597,10,Citation
1309598,16,Verbal Warning
1309599,11,Citation
1309600,16,Citation
1309601,10,Written Warning
1309604,16,NULL
1309605,17,Written Warning
1309603,08,Citation
1309606,08,Citation
1309607,08,Citation
1309608,07,Citation
1309609,17,Verbal Warning
1309610,07,Written Warning
1309611,07,Citation
1309612,00,Citation
1309614,17,NULL
1309613,17,Citation
1309615,17,Citation
1309616,17,Written Warning
1309617,17,NULL
1309618,17,Verbal Warning
1309619,17,Verbal Warning
1309621,17,NULL
1309620,17,NULL
1309622,08,Citation
1309623,09,Citation
1309624,09,Citation
1309625,12,Citation
1309626,12,Citation
1309627,10,Citation
1309628,12,Citation
1309629,11,Citation
1309630,12,Citation
1309632,17,Citation
1309631,09,Citation
1309634,17,NULL
1309633,17,NULL
1309635,17,Citation
1309636,17,Verbal Warning
1309637,18,NULL
1309638,18,Citation
1309639,18,NULL
1309640,18,Verbal Warning
1309641,18,NULL
1309642,18,Citation
1309643,18,Verbal Warning
1309644,18,Verbal Warning
1309645,19,Verbal Warning
1309646,19,NULL
1309647,19,Verbal Warning
1309648,19,Written Warning
1309649,19,NULL
